Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;38;71;7;89;100;53;64;ns;ns;29.00;11.7;1790;100;31;92;1390;2170;Nice - Sophia-Antipolis_30;disc09_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;3;80;1;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_30;disc11_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;41;89;7;90;100;84;100;2300;35900;29.00;11.7;1790;75;48;56;1390;2170;Nice - Sophia-Antipolis_30;disc14_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;2;100;0;ns;nd;nd;nd;nd;nd;29.00;11.7;1790;nd;nd;ns;1390;2170;Nice - Sophia-Antipolis_30;disc15_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;67;58;12;97;97;97;100;2300;35900;29.00;11.7;1790;95;23;18;1390;2170;Nice - Sophia-Antipolis_30;disc16_30
2011;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;184;82;23;95;89;89;92;1700;26500;25.00;11.2;1730;85;30;82;;;Nice - Sophia-Antipolis_30;disc18_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;17;67;2;ns;ns;ns;ns;ns;ns;25.00;11.2;1730;ns;ns;ns;;;Nice - Sophia-Antipolis_30;disc10_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;12;89;2;ns;ns;ns;ns;ns;ns;25.00;11.2;1730;ns;ns;ns;;;Nice - Sophia-Antipolis_30;disc11_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;162;84;20;93;95;87;99;2100;32800;25.00;11.2;1730;80;48;43;;;Nice - Sophia-Antipolis_30;disc12_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;2;100;0;ns;ns;ns;ns;ns;ns;25.00;11.2;1730;ns;ns;ns;;;Nice - Sophia-Antipolis_30;disc15_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;167;88;29;88;82;83;96;2000;31200;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc04_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;17;82;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc06_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;93;85;16;85;78;61;68;1580;24700;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc07_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;56;94;9;93;98;65;100;1920;29900;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc13_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;26;88;4;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc14_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;55;87;9;96;100;98;100;2380;37100;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc16_30
2013;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc18;Masters enseignement;18 mois après le diplôme;;100;75;100;97;88;83;91;1670;26000;;11.4;1840;80;18;84;1430;2210;Nice - Sophia-Antipolis_18;disc18_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;201;80;34;91;62;79;97;1880;29300;26.00;11.4;1840;44;45;49;1430;2210;Nice - Sophia-Antipolis_30;disc04_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;20;78;3;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc06_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;42;92;6;83;87;54;53;ns;ns;26.00;11.4;1840;66;25;90;1430;2210;Nice - Sophia-Antipolis_30;disc09_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;39;84;6;82;80;46;90;ns;ns;26.00;11.4;1840;66;42;52;1430;2210;Nice - Sophia-Antipolis_18;disc13_18
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;68;78;11;90;81;77;93;2000;31200;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc02_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;29;89;5;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc17_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;42;64;5;90;62;89;95;ns;ns;25.00;11.2;1730;38;38;71;;;Nice - Sophia-Antipolis_30;disc05_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;23;70;3;ns;ns;ns;ns;ns;ns;25.00;11.2;1730;ns;ns;ns;;;Nice - Sophia-Antipolis_30;disc06_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;81;84;13;93;100;96;99;2280;35600;28.00;11;1830;97;33;21;1420;2210;Nice - Sophia-Antipolis_18;disc16_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;297;69;51;88;69;85;97;1950;30400;29.00;11.7;1790;43;42;58;1390;2170;Nice - Sophia-Antipolis_30;disc01_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;67;69;12;91;60;80;93;1930;30000;29.00;11.7;1790;33;37;77;1390;2170;Nice - Sophia-Antipolis_30;disc02_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;150;66;26;89;74;86;98;2000;31200;29.00;11.7;1790;51;49;47;1390;2170;Nice - Sophia-Antipolis_30;disc04_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;38;71;7;87;ns;33;52;ns;ns;29.00;11.7;1790;ns;31;92;1390;2170;Nice - Sophia-Antipolis_18;disc09_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;16;43;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_18;disc10_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;32;55;6;74;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;37;1390;2170;Nice - Sophia-Antipolis_18;disc13_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;2;100;0;ns;nd;nd;nd;nd;nd;29.00;11.7;1790;nd;nd;ns;1390;2170;Nice - Sophia-Antipolis_18;disc15_18
2014;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc20;Masters enseignement : second degré, CPE...;30 mois après le diplôme;;109;79;100;93;92;90;89;1800;28100;35.00;11;1830;85;12;78;1420;2210;Nice - Sophia-Antipolis_30;disc20_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;298;76;50;91;71;80;98;1970;30700;28.00;11;1830;44;40;58;1420;2210;Nice - Sophia-Antipolis_30;disc01_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;18 mois après le diplôme;;30;87;4;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;83;1420;2210;Nice - Sophia-Antipolis_18;disc06_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;14;79;2;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_30;disc08_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;;40;87;6;83;ns;70;41;ns;ns;28.00;11;1830;ns;32;80;1420;2210;Nice - Sophia-Antipolis_18;disc09_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;194;81;31;88;94;74;97;2060;32100;28.00;11;1830;79;43;37;1420;2210;Nice - Sophia-Antipolis_18;disc12_18
2012;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc18;Masters enseignement;30 mois après le diplôme;;127;79;100;95;93;83;86;1700;26500;37.00;11.7;1790;82;18;85;1390;2170;Nice - Sophia-Antipolis_30;disc18_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;150;66;26;88;74;67;95;1760;27400;29.00;11.7;1790;47;49;47;1390;2170;Nice - Sophia-Antipolis_18;disc04_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;24;66;4;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_18;disc05_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;16;43;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_30;disc10_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;32;55;6;81;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;37;1390;2170;Nice - Sophia-Antipolis_30;disc13_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;41;89;7;75;97;73;100;ns;ns;29.00;11.7;1790;66;48;56;1390;2170;Nice - Sophia-Antipolis_18;disc14_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;67;58;12;93;95;92;98;2180;34100;29.00;11.7;1790;93;23;18;1390;2170;Nice - Sophia-Antipolis_18;disc16_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;41;92;7;90;85;67;86;ns;ns;29.00;11.7;1790;45;37;65;1390;2170;Nice - Sophia-Antipolis_18;disc17_18
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;36;83;6;92;82;88;100;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc05_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;9;75;2;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc08_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;44;89;7;86;94;58;55;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc09_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;149;77;21;87;71;87;98;1900;29600;25.00;11.2;1730;45;48;47;;;Nice - Sophia-Antipolis_30;disc04_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;43;82;5;84;92;78;97;ns;ns;25.00;11.2;1730;75;73;44;;;Nice - Sophia-Antipolis_30;disc13_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;302;76;41;90;73;87;97;1950;30400;25.00;11.2;1730;47;42;56;;;Nice - Sophia-Antipolis_30;disc01_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;39;75;5;90;69;97;91;ns;ns;25.00;11.2;1730;47;45;66;;;Nice - Sophia-Antipolis_30;disc03_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;40;87;5;98;95;87;100;ns;ns;25.00;11.2;1730;82;47;45;;;Nice - Sophia-Antipolis_30;disc14_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;43;81;5;95;100;100;100;2480;38700;25.00;11.2;1730;95;44;14;;;Nice - Sophia-Antipolis_30;disc16_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;34;85;4;97;90;82;100;ns;ns;25.00;11.2;1730;62;30;74;;;Nice - Sophia-Antipolis_30;disc17_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;10;80;2;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc11_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;39;84;6;90;82;68;91;ns;ns;26.00;11.4;1840;67;42;52;1430;2210;Nice - Sophia-Antipolis_30;disc13_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;39;91;6;100;100;85;97;ns;ns;26.00;11.4;1840;74;52;74;1430;2210;Nice - Sophia-Antipolis_30;disc14_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;30;83;5;100;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;73;1430;2210;Nice - Sophia-Antipolis_18;disc17_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;30;83;5;96;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;73;1430;2210;Nice - Sophia-Antipolis_30;disc17_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;33;84;5;94;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;41;43;1430;2210;Nice - Sophia-Antipolis_18;disc03_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;33;84;5;97;57;78;100;ns;ns;26.00;11.4;1840;43;41;43;1430;2210;Nice - Sophia-Antipolis_30;disc03_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;22;87;4;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc05_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;87;86;14;71;68;54;60;ns;ns;26.00;11.4;1840;52;28;80;1430;2210;Nice - Sophia-Antipolis_18;disc07_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;15;86;2;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc08_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;43;79;7;86;74;100;97;ns;ns;28.00;11;1830;47;42;60;1420;2210;Nice - Sophia-Antipolis_30;disc03_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;6;100;1;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_30;disc05_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;30;87;4;80;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;83;1420;2210;Nice - Sophia-Antipolis_30;disc06_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;98;85;15;81;70;70;72;1520;23700;28.00;11;1830;54;46;74;1420;2210;Nice - Sophia-Antipolis_30;disc07_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;40;87;6;93;88;76;57;ns;ns;28.00;11;1830;79;32;80;1420;2210;Nice - Sophia-Antipolis_30;disc09_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;11;88;2;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_18;disc11_18
